TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
12515,L005,L005+R,RAIN,5/29/2025,0,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/30/2025,0.04,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/31/2025,0.1,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,6/1/2025,0.8,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,6/2/2025,0.6,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/3/2025,0.01,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/4/2025,0.39,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/5/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/6/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/7/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/8/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/9/2025,0.04,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/10/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/11/2025,0,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/12/2025,0.52,NA,6/13/2025 13:10,A
12515,L005,L005+R,RAIN,6/13/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/14/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/15/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/16/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/17/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/18/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/19/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/20/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/21/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/22/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/23/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/24/2025,0,NA,6/26/2025 9:01,A
12515,L005,L005+R,RAIN,6/25/2025,0,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,6/26/2025,0,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,6/27/2025,0,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,6/28/2025,1.23,A,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,6/29/2025,0.15,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,6/30/2025,0.47,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/1/2025,0.04,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/2/2025,0.11,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/3/2025,0.29,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/4/2025,0.04,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/5/2025,0.01,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/6/2025,0.25,NA,7/7/2025 8:13,A
12515,L005,L005+R,RAIN,7/7/2025,0,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/8/2025,0,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/9/2025,0,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/10/2025,0,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/11/2025,0.23,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/12/2025,0,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/13/2025,1.78,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/14/2025,0.59,NA,7/15/2025 11:06,A
12515,L005,L005+R,RAIN,7/15/2025,0.15,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/16/2025,0.03,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/17/2025,0.11,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/18/2025,0.01,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/19/2025,0,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/20/2025,0,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/21/2025,0,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/22/2025,0.52,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/23/2025,0,NA,7/24/2025 12:45,A
12515,L005,L005+R,RAIN,7/24/2025,0,NA,8/4/2025 7:39,A
12515,L005,L005+R,RAIN,7/25/2025,0,NA,8/4/2025 7:39,A
12515,L005,L005+R,RAIN,7/26/2025,0,NA,8/4/2025 7:39,A
12515,L005,L005+R,RAIN,7/27/2025,0,NA,8/4/2025 7:39,A
12515,L005,L005+R,RAIN,7/28/2025,0,NA,8/4/2025 7:39,A
