Report Year,Colony Name,Colony Type,Species,Number
2020,Lakeport Marina,Off-Lake Island,Snowy Egret,35
2020,Lakeport Marina,Off-Lake Island,Cattle Egret,539
2020,Little Bear Beach,Spoil Island,Great Blue Heron,2
2020,Little Bear Beach,Spoil Island,Tricolored Heron,45
2020,Little Bear Beach,Spoil Island,Great Egret,82
2020,Little Bear Beach,Spoil Island,Snowy Egret,127
2020,Pahokee Airport,Spoil Island,Glossy Ibis,1
2020,Pahokee Airport,Spoil Island,White Ibis,4
2020,Pahokee Airport,Spoil Island,Tricolored Heron,10
2020,Pahokee Airport,Spoil Island,Cattle Egret,14
2020,Pahokee Airport,Spoil Island,Snowy Egret,94
2019,Bird Island,Spoil Island,Great Blue Heron,1
2019,Bird Island,Spoil Island,Tricolored Heron,19
2019,Bird Island,Spoil Island,Snowy Egret,35
2019,Clewiston Spit,Spoil Island,Great Blue Heron,3
2019,Clewiston Spit,Spoil Island,White Ibis,31
2019,Clewiston Spit,Spoil Island,Great Egret,60
2019,Clewiston Spit,Spoil Island,Glossy Ibis,105
2019,Clewiston Spit,Spoil Island,Tricolored Heron,130
2019,Clewiston Spit,Spoil Island,Snowy Egret,215
2019,Eagle Bay Island,Marsh Island,Anhinga,12
2019,Eagle Bay Island,Marsh Island,Little Blue Heron,15
2019,Eagle Bay Island,Marsh Island,Snowy Egret,30
2019,Eagle Bay Island,Marsh Island,Tricolored Heron,40
2019,Eagle Bay Island,Marsh Island,Glossy Ibis,118
2019,Eagle Bay Island,Marsh Island,White Ibis,160
2019,Eagle Bay Island,Marsh Island,Cattle Egret,400
2019,Gator Farm,Off-Lake Island,Anhinga,10
2019,Gator Farm,Off-Lake Island,Little Blue Heron,11
2019,Gator Farm,Off-Lake Island,Glossy Ibis,12
2019,Gator Farm,Off-Lake Island,Roseate Spoonbill,20
2019,Gator Farm,Off-Lake Island,Wood Stork,28
2019,Gator Farm,Off-Lake Island,Snowy Egret,30
2019,Gator Farm,Off-Lake Island,Great Egret,200
2019,Gator Farm,Off-Lake Island,Cattle Egret,400
2019,Gator Farm,Off-Lake Island,Tricolored Heron,NA
2019,Lakeport Marina,Off-Lake Island,Anhinga,4
2019,Lakeport Marina,Off-Lake Island,Tricolored Heron,6
2019,Lakeport Marina,Off-Lake Island,Snowy Egret,10
2019,Lakeport Marina,Off-Lake Island,Great Egret,25
2019,Lakeport Marina,Off-Lake Island,Cattle Egret,550
2019,Little Bear Beach,Spoil Island,Great Blue Heron,1
2019,Little Bear Beach,Spoil Island,Little Blue Heron,1
2019,Little Bear Beach,Spoil Island,White Ibis,40
2019,Little Bear Beach,Spoil Island,Great Egret,50
2019,Little Bear Beach,Spoil Island,Tricolored Heron,75
2019,Little Bear Beach,Spoil Island,Glossy Ibis,100
2019,Little Bear Beach,Spoil Island,Snowy Egret,130
2019,Moore Haven,Marsh Island,Great Blue Heron,1
2019,Moore Haven,Marsh Island,Great Egret,10
2019,Moore Haven,Marsh Island,Snowy Egret,30
2019,Moore Haven,Marsh Island,White Ibis,30
2019,Pahokee Airport,Spoil Island,Glossy Ibis,1
2019,Pahokee Airport,Spoil Island,Little Blue Heron,1
2019,Pahokee Airport,Spoil Island,Great Egret,3
2019,Pahokee Airport,Spoil Island,Snowy Egret,20
2019,Pahokee Airport,Spoil Island,Cattle Egret,35
2019,Pahokee Airport,Spoil Island,Tricolored Heron,40
2018,Bird Island,Spoil Island,Tricolored Heron,14
2018,Clewiston Spit,Spoil Island,White Ibis,1
2018,Clewiston Spit,Spoil Island,Anhinga,2
2018,Clewiston Spit,Spoil Island,Cattle Egret,3
2018,Clewiston Spit,Spoil Island,Glossy Ibis,15
2018,Clewiston Spit,Spoil Island,Great Egret,60
2018,Clewiston Spit,Spoil Island,Tricolored Heron,189
2018,Clewiston Spit,Spoil Island,Snowy Egret,220
2018,Eagle Bay Island,Marsh Island,Anhinga,2
2018,Eagle Bay Island,Marsh Island,Little Blue Heron,4
2018,Eagle Bay Island,Marsh Island,Great Blue Heron,6
2018,Eagle Bay Island,Marsh Island,Tricolored Heron,25
2018,Eagle Bay Island,Marsh Island,Glossy Ibis,50
2018,Eagle Bay Island,Marsh Island,Great Egret,100
2018,Eagle Bay Island,Marsh Island,Snowy Egret,150
2018,Eagle Bay Island,Marsh Island,White Ibis,250
2018,Eagle Bay Island,Marsh Island,Cattle Egret,500
2018,Gator Farm,Off-Lake Island,Roseate Spoonbill,6
2018,Gator Farm,Off-Lake Island,Tricolored Heron,20
2018,Gator Farm,Off-Lake Island,Little Blue Heron,50
2018,Gator Farm,Off-Lake Island,Wood Stork,90
2018,Gator Farm,Off-Lake Island,Great Egret,100
2018,Gator Farm,Off-Lake Island,Snowy Egret,100
2018,Gator Farm,Off-Lake Island,Cattle Egret,450
2018,Lakeport Marina,Off-Lake Island,Little Blue Heron,1
2018,Lakeport Marina,Off-Lake Island,Anhinga,2
2018,Lakeport Marina,Off-Lake Island,Tricolored Heron,3
2018,Lakeport Marina,Off-Lake Island,Snowy Egret,15
2018,Lakeport Marina,Off-Lake Island,Great Egret,100
2018,Lakeport Marina,Off-Lake Island,Cattle Egret,340
2018,Liberty Point,Marsh Island,Little Blue Heron,1
2018,Liberty Point,Marsh Island,Snowy Egret,20
2018,Liberty Point,Marsh Island,Cattle Egret,50
2018,Liberty Point,Marsh Island,Great Egret,120
2018,Liberty Point 2,Marsh Island,Great Egret,20
2018,Little Bear Beach,Spoil Island,Cattle Egret,3
2018,Little Bear Beach,Spoil Island,Anhinga,4
2018,Little Bear Beach,Spoil Island,Great Blue Heron,4
2018,Little Bear Beach,Spoil Island,Little Blue Heron,4
2018,Little Bear Beach,Spoil Island,Glossy Ibis,10
2018,Little Bear Beach,Spoil Island,Great Egret,60
2018,Little Bear Beach,Spoil Island,Tricolored Heron,100
2018,Little Bear Beach,Spoil Island,Snowy Egret,200
2018,Moonshine Bay 1,Marsh Island,Little Blue Heron,1
2018,Moonshine Bay 1,Marsh Island,Tricolored Heron,15
2018,Moonshine Bay 1,Marsh Island,Snowy Egret,42
2018,Moonshine Bay 2,Marsh Island,Great Blue Heron,1
2018,Moonshine Bay 2,Marsh Island,White Ibis,1
2018,Moonshine Bay 2,Marsh Island,Little Blue Heron,10
2018,Moonshine Bay 2,Marsh Island,Anhinga,20
2018,Moonshine Bay 2,Marsh Island,Tricolored Heron,44
2018,Moonshine Bay 2,Marsh Island,Snowy Egret,100
2018,Moonshine Bay 3,Marsh Island,Great Blue Heron,1
2018,Moonshine Bay 3,Marsh Island,Tricolored Heron,1
2018,Moonshine Bay 3,Marsh Island,Glossy Ibis,2
2018,Moonshine Bay 3,Marsh Island,Anhinga,13
2018,Moonshine Bay 3,Marsh Island,White Ibis,40
2018,Moonshine Bay 3,Marsh Island,Great Egret,80
2018,Moonshine Bay 3,Marsh Island,Snowy Egret,90
2018,Moore Haven,Marsh Island,Anhinga,7
2018,Moore Haven,Marsh Island,Tricolored Heron,25
2018,Moore Haven,Marsh Island,Cattle Egret,200
2018,Moore Haven,Marsh Island,Great Egret,450
2018,Moore Haven,Marsh Island,Snowy Egret,750
2018,Moore Haven,Marsh Island,White Ibis,1200
2018,Moore Haven East 2,Marsh Island,Great Egret,2
2018,Moore Haven East 2,Marsh Island,Tricolored Heron,25
2018,Moore Haven East 2,Marsh Island,Snowy Egret,50
2018,Moore Haven East 2,Marsh Island,White Ibis,350
2018,Moore Haven East 3,Marsh Island,Great Egret,3
2018,Moore Haven East 4,Marsh Island,Great Egret,21
2018,Moore Haven East 4,Marsh Island,Snowy Egret,40
2018,Moore Haven East 4,Marsh Island,White Ibis,200
2018,Pahokee Airport,Spoil Island,Cattle Egret,40
2018,Pahokee Airport,Spoil Island,Snowy Egret,60
2017,Bird Island,Spoil Island,Great Blue Heron,1
2017,Bird Island,Spoil Island,Snowy Egret,39
2017,Bird Island,Spoil Island,Tricolored Heron,63
2017,Clewiston Spit,Spoil Island,Roseate Spoonbill,1
2017,Clewiston Spit,Spoil Island,White Ibis,4
2017,Clewiston Spit,Spoil Island,Little Blue Heron,5
2017,Clewiston Spit,Spoil Island,Great Blue Heron,6
2017,Clewiston Spit,Spoil Island,Great Egret,55
2017,Clewiston Spit,Spoil Island,Glossy Ibis,57
2017,Clewiston Spit,Spoil Island,Tricolored Heron,150
2017,Clewiston Spit,Spoil Island,Snowy Egret,200
2017,Eagle Bay East,Marsh Island,Great Egret,10
2017,Eagle Bay East,Marsh Island,Tricolored Heron,30
2017,Eagle Bay East,Marsh Island,Snowy Egret,50
2017,Eagle Bay East,Marsh Island,White Ibis,75
2017,Eagle Bay East,Marsh Island,Glossy Ibis,150
2017,Eagle Bay East,Marsh Island,Cattle Egret,650
2017,Gator Farm,Off-Lake Island,Roseate Spoonbill,7
2017,Gator Farm,Off-Lake Island,Wood Stork,12
2017,Gator Farm,Off-Lake Island,Little Blue Heron,15
2017,Gator Farm,Off-Lake Island,Great Egret,70
2017,Gator Farm,Off-Lake Island,Cattle Egret,450
2017,Indian Prairie East,Marsh Island,Anhinga,3
2017,Indian Prairie East,Marsh Island,Snowy Egret,10
2017,Indian Prairie East,Marsh Island,Great Egret,80
2017,King's Bar,Marsh Island,Anhinga,10
2017,King's Bar,Marsh Island,Great Egret,10
2017,King's Bar,Marsh Island,Snowy Egret,50
2017,King's Bar,Marsh Island,White Ibis,90
2017,Lakeport Marina,Off-Lake Island,Great Egret,42
2017,Lakeport Marina,Off-Lake Island,Cattle Egret,400
2017,Liberty Point 2,Marsh Island,Great Egret,75
2017,Liberty Point 2,Marsh Island,White Ibis,300
2017,Little Bear Beach,Spoil Island,Little Blue Heron,1
2017,Little Bear Beach,Spoil Island,Great Egret,57
2017,Little Bear Beach,Spoil Island,Tricolored Heron,61
2017,Little Bear Beach,Spoil Island,Snowy Egret,182
2017,Moonshine Bay 2,Marsh Island,Great Blue Heron,1
2017,Moonshine Bay 2,Marsh Island,Roseate Spoonbill,5
2017,Moonshine Bay 2,Marsh Island,Tricolored Heron,100
2017,Moonshine Bay 2,Marsh Island,Great Egret,150
2017,Moonshine Bay 2,Marsh Island,Snowy Egret,250
2017,Moonshine Bay 2,Marsh Island,Glossy Ibis,950
2017,Moonshine Bay 2,Marsh Island,White Ibis,1030
2017,Moonshine Bay 3,Marsh Island,Great Blue Heron,1
2017,Moonshine Bay 3,Marsh Island,Anhinga,15
2017,Moonshine Bay 3,Marsh Island,Tricolored Heron,50
2017,Moonshine Bay 3,Marsh Island,Great Egret,75
2017,Moonshine Bay 3,Marsh Island,Snowy Egret,100
2017,Moonshine Bay 3,Marsh Island,Glossy Ibis,400
2017,Moonshine Bay 3,Marsh Island,White Ibis,450
2017,Moore Haven,Marsh Island,Great Egret,45
2017,Moore Haven,Marsh Island,Cattle Egret,50
2017,Moore Haven,Marsh Island,Snowy Egret,70
2016,Bird Island,Spoil Island,Great Blue Heron,1
2016,Bird Island,Spoil Island,Tricolored Heron,4
2016,Bird Island,Spoil Island,Snowy Egret,22
2016,Clewiston Spit,Spoil Island,Glossy Ibis,12
2016,Clewiston Spit,Spoil Island,Tricolored Heron,30
2016,Clewiston Spit,Spoil Island,Great Egret,56
2016,Clewiston Spit,Spoil Island,Snowy Egret,93
2016,Eagle Bay Trail,Marsh Island,Little Blue Heron,5
2016,Eagle Bay Trail,Marsh Island,Tricolored Heron,5
2016,Eagle Bay Trail,Marsh Island,Great Egret,13
2016,Eagle Bay Trail,Marsh Island,Snowy Egret,25
2016,Eagle Bay Trail,Marsh Island,Cattle Egret,425
2016,Gator Farm,Off-Lake Island,Tricolored Heron,3
2016,Gator Farm,Off-Lake Island,Roseate Spoonbill,4
2016,Gator Farm,Off-Lake Island,Wood Stork,63
2016,Gator Farm,Off-Lake Island,Cattle Egret,150
2016,Gator Farm,Off-Lake Island,Great Egret,165
2016,Gator Farm,Off-Lake Island,Snowy Egret,609
2016,Indian Prairie East,Marsh Island,Anhinga,6
2016,Indian Prairie East,Marsh Island,Snowy Egret,133
2016,Indian Prairie East,Marsh Island,Great Egret,190
2016,Indian Prairie East,Marsh Island,Cattle Egret,290
2016,Lakeport Marina,Off-Lake Island,Tricolored Heron,3
2016,Lakeport Marina,Off-Lake Island,Snowy Egret,13
2016,Lakeport Marina,Off-Lake Island,Great Egret,86
2016,Lakeport Marina,Off-Lake Island,Cattle Egret,140
2016,Liberty Point,Marsh Island,Great Egret,20
2016,Liberty Point 2,Marsh Island,Great Blue Heron,1
2016,Liberty Point 2,Marsh Island,Little Blue Heron,10
2016,Liberty Point 2,Marsh Island,Tricolored Heron,10
2016,Liberty Point 2,Marsh Island,Anhinga,15
2016,Liberty Point 2,Marsh Island,Snowy Egret,125
2016,Liberty Point 2,Marsh Island,White Ibis,225
2016,Liberty Point 2,Marsh Island,Great Egret,253
2016,Little Bear Beach,Spoil Island,Little Blue Heron,3
2016,Little Bear Beach,Spoil Island,Tricolored Heron,30
2016,Little Bear Beach,Spoil Island,Great Egret,70
2016,Little Bear Beach,Spoil Island,Snowy Egret,90
2016,Moore Haven,Marsh Island,Glossy Ibis,10
2016,Moore Haven,Marsh Island,White Ibis,12
2016,Moore Haven,Marsh Island,Tricolored Heron,20
2016,Moore Haven,Marsh Island,Cattle Egret,66
2016,Moore Haven,Marsh Island,Great Egret,150
2016,Moore Haven,Marsh Island,Snowy Egret,218
2016,Moore Haven East 2,Marsh Island,White Ibis,10
2016,Moore Haven East 2,Marsh Island,Snowy Egret,30
2016,Moore Haven East 2,Marsh Island,Great Egret,37
2016,Moore Haven East 4,Marsh Island,Tricolored Heron,3
2016,Moore Haven East 4,Marsh Island,Snowy Egret,20
2016,Moore Haven East 4,Marsh Island,Little Blue Heron,23
2016,Moore Haven East 4,Marsh Island,White Ibis,23
2016,Moore Haven East 4,Marsh Island,Great Egret,46
2016,Moore Haven North,Marsh Island,Great Egret,25
2016,Moore Haven West,Marsh Island,Great Egret,3
2015,Clewiston Spit,Spoil Island,Little Blue Heron,3
2015,Clewiston Spit,Spoil Island,Tricolored Heron,35
2015,Clewiston Spit,Spoil Island,Snowy Egret,45
2015,Clewiston Spit,Spoil Island,Great Egret,80
2015,Eagle Bay Trail,Marsh Island,Great Blue Heron,2
2015,Eagle Bay Trail,Marsh Island,Great Egret,4
2015,Eagle Bay Trail,Marsh Island,White Ibis,10
2015,Eagle Bay Trail,Marsh Island,Little Blue Heron,21
2015,Eagle Bay Trail,Marsh Island,Glossy Ibis,25
2015,Eagle Bay Trail,Marsh Island,Tricolored Heron,59
2015,Eagle Bay Trail,Marsh Island,Snowy Egret,125
