Database ID,Date,Observers,Survey Type,Start Time,End Time,Survey Notes,Method,Sky Code,Counts by,Waypoint Number,Latitude,Longitude,Colony Name,Photo Numbers,Colony Notes,Species Code,Nest Count,Adult Count,Fledling Count
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,33,26.96452,81.04155,Rock Islands,,colony is spread out over 3 islands,SMDK,,23,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,34,26.97109,81.10584,Lakeport Marina,,,GREG,18,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,35,27.0284,81.0693,Gator Farm,,,GREG,21,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,36,27.16942,80.85536,Eagle Bay Island,,,GREG,12,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,36,27.16942,80.85536,Eagle Bay Island,,,ROSP,8,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,9 and 24,26.58151,81.03925,Lakeport Marina,LakeportMarina_2025_03_26_1-LakeportMarina_2025_03_26_5,,GREG,76,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,9 and 24,26.58151,81.03925,Lakeport Marina,LakeportMarina_2025_03_26_1-LakeportMarina_2025_03_26_6,,SNEG,4,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,9 and 24,26.58151,81.03925,Lakeport Marina,LakeportMarina_2025_03_26_1-LakeportMarina_2025_03_26_7,,SMWT,4,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,9 and 24,26.58151,81.03925,Lakeport Marina,LakeportMarina_2025_03_26_1-LakeportMarina_2025_03_26_8,,CAEG,3,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_11,,GREG,44,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_12,,SNEG,2,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_13,,SMWT,4,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_14,,TRHE,2,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_15,,SMDK,1,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,2 and 27,26.43298,80.50561,Little Bear Beach,LIttleBearBeach_2025_03_26_1-LIttleBearBeach_2025_03_26_16,,WHIB,20,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_27,,ANHI,1,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_28,,GREG,42,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_29,,LBHE,1,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_30,,SMWT,20,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_31,,SNEG,10,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Photograph Count,0,B. Mason,8 and 33,26.96944,81.04035,Rock Islands,BirdIsland_2025_03_26_1-BirdIsland_2025_03_26_32,,GBHE,4,,
